time,state,V,label
1731836524,TooDark,9248,
1731836884,TooDark,9248,
1731837244,TooDark,9248,
1731837604,TooDark,9248,
1731837964,TooDark,9248,
1731838324,TooDark,9248,
1731838684,TooDark,9248,
1731839044,TooDark,9248,
1731839404,TooDark,9248,
1731839764,TooDark,9248,
1731840124,TooDark,9248,
1731840484,TooDark,9248,
1731840844,TooDark,9248,
1731841204,TooDark,9248,
1731841564,TooDark,9248,
1731841924,TooDark,9248,
1731842284,TooDark,9248,
1731842644,TooDark,9248,
1731843006,Flood,9392,NoFlood
1731843367,Flood,9392,NoFlood
1731843726,Flood,9392,NoFlood
1731844087,Flood,9392,NoFlood
1731844446,Flood,9392,NoFlood
1731844806,Flood,9392,NoFlood
1731845167,Flood,9392,NoFlood
1731845526,Flood,9392,NoFlood
1731845886,Flood,9392,NoFlood
1731846247,Flood,9392,NoFlood
1731846606,Flood,9392,NoFlood
1731846966,Flood,9392,NoFlood
1731847327,Flood,9392,NoFlood
1731847687,Flood,9392,NoFlood
1731848046,Flood,9392,NoFlood
1731848406,Flood,9392,NoFlood
1731848767,Flood,9392,NoFlood
1731849126,Flood,9392,NoFlood
1731849487,Flood,9392,NoFlood
1731849846,Flood,9392,Flood
1731850207,Flood,9392,Flood
1731850566,Flood,9392,Flood
1731850926,Flood,9392,Flood
1731851286,Flood,9392,Flood
1731851646,Flood,9392,Flood
1731852006,Flood,9392,Flood
1731852366,Flood,9392,Flood
1731852727,Flood,9392,Flood
1731853086,Flood,9392,Flood
1731853446,Flood,9392,Flood
